run_id,as_of_date,code,model_version,horizon_days,pred_return_60d,pred_return_90d,pred_mdd_60d,pred_mdd_90d,prob_top20_60d,prob_top20_90d,ret_score,prob_score,qual_score,tech_score,risk_penalty,final_score,final_score_custom,created_at,pred_return_30d,pred_mdd_30d,prob_top20_30d,sector,weight
40,2025-12-15,000100,v1,30,0.07380919964165922,0.04677124342326966,-0.1387300020721945,-0.1864232562038497,0.05856812466294748,0.02896698537058493,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,000150,v1,30,0.43009250375978514,0.798377350593392,-0.19604712589811105,-0.18984241911540092,0.3453908250403539,0.1160157609602564,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,기계/중공업·방산,0.05
40,2025-12-15,003230,v1,30,0.05201251432385545,0.3805995306517582,-0.17673923628789326,-0.1527847768442923,0.06222896000857248,0.02456286850406977,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,소비재/유통,0.05
40,2025-12-15,003490,v1,30,0.005435770744357082,0.01638720084020484,-0.11113575530230985,-0.13079993946879306,0.027927542849519246,0.023949014315359868,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,003550,v1,30,0.059255496004369634,0.09937940089104069,-0.1541422869820144,-0.19283263221004682,0.10491659282221648,0.1011513660894987,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,005385,v1,30,-0.0014549498374003544,0.034090759009452576,-0.1386168165892712,-0.14817145428750308,0.029693800584957387,0.02686398560322558,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,자동차/모빌리티,0.05
40,2025-12-15,005387,v1,30,0.033842109374115026,0.04898373437878645,-0.11962447597505241,-0.13028531709612384,0.03529837973561785,0.027709886676299755,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,자동차/모빌리티,0.05
40,2025-12-15,005490,v1,30,-0.02699509254050292,-0.002099527842678639,-0.16816414209566383,-0.19332391340867042,0.027359723506066726,0.018200895816659055,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,005830,v1,30,0.027990840588754118,0.08071208731592239,-0.14101581096000335,-0.16246389334166123,0.05390083434268618,0.042389324797644325,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,금융,0.05
40,2025-12-15,005940,v1,30,-0.04379347633041775,0.14664763702379502,-0.15360678903202574,-0.1784237503843848,0.09402222905067784,0.07169399765211755,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,금융,0.05
40,2025-12-15,009540,v1,30,0.10187069727904374,0.07237408624014852,-0.1663683546815046,-0.1868997394668633,0.04846880656940631,0.043307387331579274,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,조선/해양·해운,0.05
40,2025-12-15,011070,v1,30,0.06088811460352561,0.1282804284760759,-0.2129467634975277,-0.18153086071695226,0.07208683847708866,0.0944673205508758,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,전자/부품,0.05
40,2025-12-15,012330,v1,30,0.11367567334525619,0.20374445079872805,-0.1367847862365398,-0.15832844380561664,0.04559998015263537,0.05919220573880522,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,자동차/모빌리티,0.05
40,2025-12-15,016360,v1,30,0.16923689931333707,0.23407101482077497,-0.1280192620146969,-0.18839734966266558,0.32935109648877076,0.21323343057345753,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,금융,0.05
40,2025-12-15,017670,v1,30,-0.0027837094433067477,-0.010381711380790137,-0.07788345350224049,-0.10366262826127254,0.03256491702698187,0.024545144166706716,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,통신,0.05
40,2025-12-15,018260,v1,30,-0.041838453541475085,-0.07587619452166783,-0.18050054716539382,-0.19152463870698272,0.042330676990418176,0.03202918311446182,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,021240,v1,30,0.02398760463140026,0.06657694815928861,-0.13777188280402008,-0.18169508050705774,0.08954852108096292,0.04900409566645244,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,소비재/유통,0.05
40,2025-12-15,024110,v1,30,0.10419481105702344,0.22054130301163077,-0.09872519685932686,-0.10535539885694406,0.04265966596891162,0.05817690939265667,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,금융,0.05
40,2025-12-15,028050,v1,30,0.03224439919534983,0.11102451972431404,-0.12050384843655548,-0.1485067123476889,0.08333358621384968,0.05738515621763196,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
40,2025-12-15,029780,v1,30,0.04387473678122378,0.0819284189365348,-0.1473663919212515,-0.15438279365517893,0.05078586921795522,0.06561804716536244,,,,,,,6.0,2025-12-15 13:29:27.579856+00:00,,,,,0.05
