date,model_version,portfolio_return,cum_return
2024-01-04,v1,0.15128018016088673,0.15128018016088673
2024-01-05,v1,0.1750475083854714,0.3528089071516267
2024-01-08,v1,0.0848673290268051,0.4676181857852566
2024-01-11,v1,0.08802288520525023,0.5968021728777699
2024-01-12,v1,0.055867260846513375,0.6860111363902117
2024-01-15,v1,0.09674949006972484,0.8491318540878419
2024-01-18,v1,0.15884735789401214,1.1428615635073514
2024-01-19,v1,0.18459656374429464,1.538426444710535
2024-01-22,v1,0.0607707691997725,1.6926885723126381
2024-01-25,v1,0.12628460055796958,2.032733673094149
2024-01-26,v1,0.12204540222324334,2.4028648740628986
2024-01-29,v1,0.1288906932847034,2.8414624868350304
