name,tx_cost_bps,avg_return,hit_rate,sharpe_like,num_periods,mdd,turnover_avg
equal_weight,0.0,0.11914348638619382,1.0,3.2531156781200936,12,0.0,0.041666666666666796
random_top20_seed0,0.0,0.12656473339702132,1.0,1.7907265758080553,12,0.0,0.8750000000000004
random_top20_seed1,0.0,0.12484951785686953,1.0,1.50223920152149,12,0.0,0.8625000000000004
random_top20_seed2,0.0,0.1074551195888836,0.9166666666666666,2.0405073274194696,12,-0.013517057456742356,0.8125000000000004
random_top20_seed3,0.0,0.10718077372644048,0.9166666666666666,1.1353707114293174,12,0.0,0.8791666666666672
random_top20_seed4,0.0,0.13334892223352932,1.0,1.7459744358519733,12,0.0,0.8708333333333337
random_top20_seed5,0.0,0.13416847215905733,1.0,1.590073160278722,12,0.0,0.8541666666666671
random_top20_seed6,0.0,0.10829395568701404,1.0,2.667914427785132,12,0.0,0.8583333333333337
random_top20_seed7,0.0,0.11273851727872836,0.9166666666666666,1.4709396894403401,12,-0.0020289201361588065,0.8750000000000004
random_top20_seed8,0.0,0.14709943839490677,1.0,2.423543293764389,12,0.0,0.8708333333333336
random_top20_seed9,0.0,0.10411046806514568,1.0,1.762396042194588,12,0.0,0.8416666666666669
random_top20_seed10,0.0,0.12919334196847596,1.0,1.925456951498373,12,0.0,0.8500000000000004
random_top20_seed11,0.0,0.10074369432498344,0.9166666666666666,1.5981062419691199,12,-0.018354832825857852,0.8416666666666671
random_top20_seed12,0.0,0.10762955400541085,0.9166666666666666,1.2380771404232165,12,-0.06365496065154563,0.8750000000000004
random_top20_seed13,0.0,0.11982450471118133,0.9166666666666666,1.3770766239141807,12,0.0,0.8583333333333337
random_top20_seed14,0.0,0.11085701028773538,0.9166666666666666,1.5025526076127622,12,0.0,0.8708333333333337
random_top20_seed15,0.0,0.12941968033928716,1.0,1.4133243771137656,12,0.0,0.8833333333333337
random_top20_seed16,0.0,0.1277529869932445,1.0,1.9254061171481958,12,0.0,0.8541666666666671
random_top20_seed17,0.0,0.08871502156611881,0.8333333333333334,1.3764878324863903,12,-0.01782855703320434,0.8875000000000005
random_top20_seed18,0.0,0.1284116318310494,1.0,1.7908595100975682,12,0.0,0.8458333333333337
random_top20_seed19,0.0,0.14408948727805215,1.0,1.6731631502984674,12,0.0,0.8708333333333337
