weight,tx_cost_bps,avg_return,hit_rate,sharpe_like,num_periods,mdd
w0_base,0,0.4857104893330395,1.0,7.844245839755357,12,0.0
w0_base,10,0.48471048933303956,1.0,7.828095795619959,12,0.0
w0_base,20,0.4837104893330395,1.0,7.811945751484557,12,0.0
w2_prob_up,0,0.49334923421945615,1.0,8.269952064781306,12,0.0
w2_prob_up,10,0.4923492342194562,1.0,8.253189188726852,12,0.0
w2_prob_up,20,0.49134923421945614,1.0,8.236426312672394,12,0.0
w3_qual_up,0,0.4924650266390735,1.0,8.30620265985309,12,0.0
w3_qual_up,10,0.4914650266390735,1.0,8.289336076013543,12,0.0
w3_qual_up,20,0.4904650266390735,1.0,8.272469492173995,12,0.0
w5_ret_high,0,0.4923465837244408,1.0,9.138303237931542,12,0.0
w5_ret_high,10,0.4913465837244408,1.0,9.119742525742167,12,0.0
w5_ret_high,20,0.4903465837244408,1.0,9.10118181355279,12,0.0
w6_prob_high,0,0.4928827526981439,1.0,8.383378677952825,12,0.0
w6_prob_high,10,0.4918827526981439,1.0,8.36636980792834,12,0.0
w6_prob_high,20,0.4908827526981439,1.0,8.349360937903857,12,0.0
