weight_name,w_ret,w_prob,w_qual,w_tech,w_risk,model_version,horizon_days,pred_mae,pred_rmse,pred_corr,pred_n,strat_avg_return,strat_hit_rate,strat_sharpe_like,strat_num_periods
w0_base,0.45,0.35,0.1,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
w1_ret_up,0.5,0.3,0.1,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5121993667681228,1.0,12.736303591856968,11
w2_prob_up,0.4,0.39999999999999997,0.1,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5163265451973964,1.0,15.508600997426646,11
w3_qual_up,0.4,0.35,0.15000000000000002,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5163265451973965,1.0,15.508600997426658,11
w4_tech_up,0.45,0.3,0.1,0.15000000000000002,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5121993667681228,1.0,12.736303591856968,11
w5_ret_high,0.55,0.24999999999999997,0.1,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5039575831320048,1.0,11.266375331570414,11
w6_prob_high,0.35,0.44999999999999996,0.1,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5173374124871992,1.0,16.30233106512355,11
w7_qual_high,0.4,0.3,0.2,0.1,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
w8_tech_high,0.4,0.3,0.1,0.2,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
w9_risk_low,0.45,0.35,0.1,0.1,0.8,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
w10_risk_high,0.45,0.35,0.1,0.1,1.2,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
w11_balanced_plus,0.5,0.39999999999999997,0.05,0.05,1.0,v1,60,0.11259546315715889,0.21543700692510262,0.8000971292867938,2040,0.5123362472211447,1.0,13.278790908926277,11
