weight,tx_cost_bps,avg_return,hit_rate,sharpe_like,mdd,turnover_avg,num_periods
w2_prob_up,0,0.5281438485675206,1.0,8.183032336408287,0.0,0.1088235294117647,34
w2_prob_up,10,0.5271438485675204,1.0,8.167538390282425,0.0,0.1088235294117647,34
w2_prob_up,20,0.5261438485675205,1.0,8.15204444415657,0.0,0.1088235294117647,34
w3_qual_up,0,0.5284905201732937,1.0,8.259129580774323,0.0,0.10882352941176471,34
w3_qual_up,10,0.5274905201732937,1.0,8.243501808344146,0.0,0.10882352941176471,34
w3_qual_up,20,0.5264905201732937,1.0,8.227874035913967,0.0,0.10882352941176471,34
w5_ret_high,0,0.525256246364093,1.0,7.746380558528098,0.0,0.09411764705882353,34
w5_ret_high,10,0.5242562463640931,1.0,7.731632746175273,0.0,0.09411764705882353,34
w5_ret_high,20,0.523256246364093,1.0,7.716884933822444,0.0,0.09411764705882353,34
w6_prob_high,0,0.5276861669057444,1.0,8.211875509535185,0.0,0.10441176470588234,34
w6_prob_high,10,0.5266861669057443,1.0,8.196313465228263,0.0,0.10441176470588234,34
w6_prob_high,20,0.5256861669057443,1.0,8.180751420921345,0.0,0.10441176470588234,34
w0_base,0,0.524815587072965,1.0,7.794648145081484,0.0,0.11029411764705882,34
w0_base,10,0.5238155870729648,1.0,7.779795979221556,0.0,0.11029411764705882,34
w0_base,20,0.5228155870729649,1.0,7.764943813361633,0.0,0.11029411764705882,34
