model_version,prob_mean,prob_min,prob_max,n,observed_rate
v1,0.068164476171299,0.0306704149991636,0.0962651054227607,896,0.026785714285714284
v1,0.14620124573761845,0.0963349736191396,0.1619292859139803,15693,0.04556171541451603
v1,0.19026616806910399,0.1619300768631786,0.2275572729624319,38314,0.09787545022707105
v1,0.2540627866345633,0.2275616036942263,0.29317316391885,13135,0.16870955462504758
v1,0.318765800711471,0.2932004526002594,0.3587728174610137,3875,0.1945806451612903
v1,0.38439361506223374,0.3588201403581694,0.424180226474367,1133,0.1915269196822595
v1,0.45180794159007887,0.4246518430334279,0.4894001319481914,396,0.24494949494949494
v1,0.5156772042356319,0.4904286657747431,0.5545188940284019,126,0.2698412698412698
v1,0.5868018547912895,0.5567729692649941,0.6207901554444185,37,0.35135135135135137
v1,0.6493954339021404,0.6217566967502867,0.6869652374412625,19,0.0
